epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.676,1.51489,3.06409,1.48756,0.94394,0.17908,0.50715,0.35245,1.34023,2.66262,1.36265,0.00032867,0.00032867,0.00032867
2,280.15,1.35078,1.44559,1.32376,0.84718,0.47009,0.65762,0.37145,1.68122,2.24222,1.41319,0.000638384,0.000638384,0.000638384
3,443.027,1.27383,1.16208,1.27257,0.81151,0.62077,0.81124,0.45562,1.70818,2.07787,1.37532,0.000914146,0.000914146,0.000914146
4,582.306,1.23074,1.05029,1.24291,0.75328,0.80503,0.85781,0.54081,1.22007,1.20596,1.14621,0.00115595,0.00115595,0.00115595
5,719.534,1.20352,1.01078,1.23796,0.80376,0.83953,0.86261,0.51665,1.2843,1.49946,1.20697,0.00114606,0.00114606,0.00114606
6,856.166,1.18466,0.97776,1.21525,0.80828,0.90251,0.87418,0.53682,1.21527,1.10604,1.19472,0.00107532,0.00107532,0.00107532
7,993.162,1.16654,0.94301,1.20971,0.78401,0.92756,0.89518,0.58519,1.20304,1.01596,1.14898,0.00100459,0.00100459,0.00100459
8,1130.52,1.16799,0.92961,1.21042,0.76451,0.91594,0.88669,0.57799,1.21025,0.93433,1.17684,0.000933851,0.000933851,0.000933851
9,1268.34,1.15707,0.91703,1.19647,0.76505,0.91662,0.89763,0.60349,1.10079,0.91778,1.15676,0.000863116,0.000863116,0.000863116
10,1407.05,1.14273,0.91276,1.18991,0.80479,0.91378,0.90215,0.574,1.34673,0.91117,1.20749,0.00079238,0.00079238,0.00079238
11,1540.11,1.14012,0.95265,1.19748,0.83338,0.91803,0.90832,0.61899,1.09531,0.91374,1.18209,0.000721645,0.000721645,0.000721645
12,1673.06,1.12556,0.87775,1.17938,0.82444,0.91951,0.91838,0.63289,1.05318,0.90694,1.10349,0.000650909,0.000650909,0.000650909
13,1816.96,1.11227,0.86047,1.16889,0.85386,0.89688,0.91308,0.62751,1.06566,0.91349,1.1234,0.000580174,0.000580174,0.000580174
14,1950.44,1.11228,0.83451,1.17199,0.85704,0.91143,0.91932,0.61734,1.02689,0.88339,1.1304,0.000509438,0.000509438,0.000509438
15,2083.59,1.08572,0.81299,1.15147,0.84579,0.90635,0.91184,0.62578,1.04774,0.87472,1.12356,0.000438703,0.000438703,0.000438703
16,2216.34,1.07702,0.80057,1.14211,0.82224,0.91799,0.90957,0.62184,1.12202,0.83522,1.11021,0.000367967,0.000367967,0.000367967
17,2348.52,1.06743,0.7865,1.14039,0.84234,0.91563,0.91879,0.63843,1.05051,0.79502,1.0992,0.000297232,0.000297232,0.000297232
18,2480.62,1.05313,0.7738,1.13175,0.8614,0.92331,0.9179,0.63143,1.07566,0.81746,1.1022,0.000226497,0.000226497,0.000226497
19,2614.79,1.04826,0.76167,1.13057,0.85705,0.9086,0.92181,0.64888,1.04573,0.78034,1.08976,0.000155761,0.000155761,0.000155761
20,2748.52,1.04052,0.74926,1.1268,0.8714,0.89823,0.92001,0.6472,1.02675,0.76037,1.09249,8.50255e-05,8.50255e-05,8.50255e-05
