epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.696,1.51449,3.06263,1.48718,0.95129,0.15792,0.50561,0.34669,1.38197,2.72279,1.40064,0.00032867,0.00032867,0.00032867
2,305.906,1.35371,1.44334,1.32438,0.84895,0.55951,0.73226,0.42312,1.50458,2.11943,1.27849,0.000638384,0.000638384,0.000638384
3,454.661,1.27434,1.16338,1.27144,0.83165,0.74301,0.86486,0.50926,1.36803,1.88483,1.22406,0.000914146,0.000914146,0.000914146
4,603.156,1.23124,1.05218,1.24269,0.82304,0.86321,0.87629,0.56091,1.15084,1.14989,1.13607,0.00115595,0.00115595,0.00115595
5,752.831,1.20525,1.01592,1.2394,0.81168,0.54288,0.77477,0.44511,1.57573,2.4125,1.4508,0.00114606,0.00114606,0.00114606
6,901.738,1.18221,0.97146,1.2175,0.83284,0.90203,0.88853,0.56185,1.22433,1.24372,1.21507,0.00107532,0.00107532,0.00107532
7,1049.66,1.16251,0.94336,1.20767,0.8208,0.91441,0.88157,0.57852,1.15615,1.07665,1.11167,0.00100459,0.00100459,0.00100459
8,1198,1.16769,0.93252,1.21022,0.7719,0.93615,0.87442,0.58532,1.11209,0.91214,1.13645,0.000933851,0.000933851,0.000933851
9,1345.88,1.15641,0.91755,1.19744,0.79429,0.95017,0.90098,0.59547,1.13189,0.88237,1.18729,0.000863116,0.000863116,0.000863116
10,1548.11,1.14059,0.91407,1.19034,0.76863,0.9041,0.89671,0.57188,1.40876,0.95674,1.27184,0.00079238,0.00079238,0.00079238
11,1696.09,1.1309,0.95979,1.19444,0.82406,0.9195,0.91843,0.61199,1.12104,0.89282,1.17883,0.000721645,0.000721645,0.000721645
12,1840.07,1.12666,0.88078,1.18146,0.82275,0.9306,0.91016,0.60678,1.07692,0.9334,1.13071,0.000650909,0.000650909,0.000650909
13,1982.52,1.1114,0.86314,1.17095,0.83494,0.91766,0.91873,0.61625,1.07875,0.90838,1.13477,0.000580174,0.000580174,0.000580174
14,2124.94,1.11302,0.8352,1.17588,0.85892,0.89897,0.91965,0.62411,1.06446,0.87117,1.13803,0.000509438,0.000509438,0.000509438
15,2268.15,1.08623,0.81353,1.15383,0.84352,0.91345,0.91391,0.62966,1.03584,0.84073,1.11453,0.000438703,0.000438703,0.000438703
16,2410.71,1.07839,0.80179,1.14576,0.81936,0.91693,0.91687,0.62838,1.11584,0.83385,1.12217,0.000367967,0.000367967,0.000367967
17,2553.75,1.07085,0.78817,1.14795,0.86378,0.89765,0.92166,0.63316,1.10071,0.79959,1.12725,0.000297232,0.000297232,0.000297232
18,2696.08,1.0533,0.77712,1.13661,0.82674,0.92926,0.92102,0.62818,1.12644,0.78431,1.13425,0.000226497,0.000226497,0.000226497
19,2840.01,1.04823,0.7635,1.13336,0.86318,0.91304,0.92723,0.64058,1.05727,0.76938,1.09724,0.000155761,0.000155761,0.000155761
20,2981.23,1.03696,0.74972,1.128,0.85973,0.91988,0.92084,0.63937,1.034,0.76127,1.09469,8.50255e-05,8.50255e-05,8.50255e-05
