epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.77,1.46889,2.52233,1.44901,0.89596,0.5671,0.56866,0.36977,1.41896,1.97346,1.28276,0.00046641,0.00046641,0.00046641
2,289.771,1.32185,1.32039,1.30799,0.80177,0.84808,0.85334,0.52297,1.22745,1.42293,1.29387,0.000896077,0.000896077,0.000896077
3,431.14,1.24815,1.13563,1.27282,0.75445,0.86987,0.86406,0.54027,1.26558,1.31239,1.1907,0.00127859,0.00127859,0.00127859
4,574.207,1.22329,1.06899,1.25579,0.82189,0.89639,0.89651,0.58775,1.12313,0.96092,1.15389,0.00121679,0.00121679,0.00121679
5,715.391,1.19425,1.00787,1.24059,0.80692,0.93125,0.89001,0.60305,1.10901,0.96686,1.18847,0.00114606,0.00114606,0.00114606
6,857.342,1.18923,0.98937,1.22657,0.81608,0.91386,0.88459,0.60072,1.09536,1.00715,1.16965,0.00107532,0.00107532,0.00107532
7,1000.06,1.17078,0.94829,1.22115,0.76886,0.91803,0.87546,0.54994,1.31981,0.96582,1.22317,0.00100459,0.00100459,0.00100459
8,1144.09,1.16742,0.9356,1.21106,0.8144,0.92629,0.90035,0.61028,1.06269,0.92863,1.12689,0.000933851,0.000933851,0.000933851
9,1289.35,1.17053,0.92686,1.20952,0.84238,0.91207,0.91905,0.62418,1.08531,0.82658,1.15296,0.000863116,0.000863116,0.000863116
10,1432.95,1.14425,0.91066,1.19637,0.8263,0.92168,0.90493,0.60053,1.17303,0.86831,1.19144,0.00079238,0.00079238,0.00079238
11,1572.92,1.14959,0.95186,1.20661,0.84447,0.92457,0.90979,0.62714,1.10727,0.87591,1.1942,0.000721645,0.000721645,0.000721645
12,1710.33,1.1246,0.87842,1.18957,0.85439,0.91748,0.91807,0.63089,1.04881,0.87192,1.13317,0.000650909,0.000650909,0.000650909
13,1847.65,1.11244,0.85592,1.18564,0.8288,0.93806,0.92075,0.61908,1.09259,0.8184,1.14613,0.000580174,0.000580174,0.000580174
14,1984.79,1.09951,0.82706,1.17521,0.8125,0.93154,0.91927,0.6116,1.06224,0.811,1.14034,0.000509438,0.000509438,0.000509438
15,2122.52,1.08866,0.81502,1.16329,0.85882,0.92126,0.91249,0.62939,1.05333,0.85356,1.11963,0.000438703,0.000438703,0.000438703
16,2258.06,1.08571,0.80499,1.15725,0.82175,0.9253,0.91303,0.63381,1.07355,0.77869,1.12875,0.000367967,0.000367967,0.000367967
17,3542.52,1.06726,0.78811,1.15067,0.84678,0.91924,0.91971,0.63247,1.06603,0.77715,1.11624,0.000297232,0.000297232,0.000297232
18,3667.38,1.05713,0.77779,1.14152,0.86177,0.90841,0.91779,0.63913,1.06314,0.77639,1.11273,0.000226497,0.000226497,0.000226497
19,3792.81,1.05295,0.7637,1.14041,0.8453,0.93289,0.92207,0.64436,1.05156,0.74015,1.10799,0.000155761,0.000155761,0.000155761
20,3920.8,1.04216,0.75163,1.13659,0.84206,0.93783,0.91982,0.63698,1.03311,0.74104,1.10873,8.50255e-05,8.50255e-05,8.50255e-05
